ID,구분,2학기 함성소리,항목,단가,수량,총 금액,비고
1,숙소예약,,대성리 모꼬지 숙소 별채(10인 이상용),"₩350,000",1,350000원,
2,식사,,국그릇,,15,0원,
3,식사,,숟가락,,15,0원,
4,식사,,젓가락,,15,0원,
5,식사,,일반접시,,15,0원,
6,식사,,종이컵,₩0,30,0원,장원준이 가져오기
7,식사,,숯,"₩27,900",1,27900원,
8,식사,,LA 갈비,"₩48,490",1,48490원,
10,식사,,햇반,"₩12,900",1,12900원,
11,식사,,라면(10개),"₩7,470",1,7470원,
12,식사,,된장,,,0원,
13,식사,,쌈장,"₩2,700",1,2700원,
14,식사,,김치,,,0원,
15,식사,,파채,"₩4,590",3,13770원,
16,식사,,참소스,"₩3,190",1,3190원,
17,식사,해당,음료수,,,0원,
18,식사,해당,물,,,0원,
19,식사,,쌈채소,,,0원,
20,식사,해당,마쉬멜로우,"₩6,000",1,6000원,
21,식사,,고구마 (3kg),"₩15,090",1,15090원,
22,식사,,파인애플(통),"₩3,280",2,6560원,
24,식사,,버섯,"₩5,590",1,5590원,
25,식사,,미국산 살치살,"₩50,000",1,50000원,
26,식사,,삽겹살,"₩60,000",1,60000원,
27,식사,,석쇠,"₩5,560",1,5560원,
28,식사,,와사비,"₩4,500",1,4500원,
