항목,2학기 함성소리,ID,구분,단가,비고,수량,총 금액
대성리 모꼬지 숙소 별채(10인 이상용),,1,숙소예약,"₩350,000",,1,350000원
국그릇,,2,식사,,,15,0원
숟가락,,3,식사,,,15,0원
젓가락,,4,식사,,,15,0원
일반접시,,5,식사,,,15,0원
종이컵,,6,식사,₩0,장원준이 가져오기,30,0원
숯,,7,식사,"₩27,900",,1,27900원
LA 갈비,,8,식사,"₩48,490",,1,48490원
햇반,,10,식사,"₩12,900",,1,12900원
라면(10개),,11,식사,"₩7,470",,1,7470원
된장,,12,식사,,,,0원
쌈장,,13,식사,"₩2,700",,1,2700원
김치,,14,식사,,,,0원
파채,,15,식사,"₩4,590",,3,13770원
참소스,,16,식사,"₩3,190",,1,3190원
음료수,해당,17,식사,,,,0원
물,해당,18,식사,,,,0원
쌈채소,,19,식사,,,,0원
마쉬멜로우,해당,20,식사,"₩6,000",,1,6000원
고구마 (3kg),,21,식사,"₩15,090",,1,15090원
파인애플(통),,22,식사,"₩3,280",,2,6560원
버섯,,24,식사,"₩5,590",,1,5590원
미국산 살치살,,25,식사,"₩50,000",,1,50000원
삽겹살,,26,식사,"₩60,000",,1,60000원
석쇠,,27,식사,"₩5,560",,1,5560원
와사비,,28,식사,"₩4,500",,1,4500원
